gene	chromosome	start	end	bin	TAD
EIF4G3	chr1	21176888	21176889	211769	hg38_H1_34
ACTL8	chr1	17755312	17755313	177554	hg38_H1_27
ALDH4A1	chr1	18890891	18890892	188909	hg38_H1_29
ALDH4A1	chr1	18902799	18902800	189028	hg38_H1_29
WDTC1	chr1	27234515	27234516	272346	hg38_H1_50
WDTC1	chr1	27234515	27234516	272346	hg38_H1_50
TRIT1	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
EPHA10	chr1	37765152	37765153	377652	hg38_H1_70
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
N/A	chr1	39883511	39883512	398836	hg38_H1_74
AGBL4	chr1	50023954	50023955	500240	hg38_H1_91
PDZK1IP1	chr1	47190099	47190100	471901	hg38_H1_87
SLC5A9	chr1	48222684	48222685	482227	hg38_H1_89
N/A	chr1	46176495	46176496	461765	hg38_H1_85
ZSWIM5	chr1	45206578	45206579	452066	hg38_H1_84
RP4-533D7.5	chr1	46133370	46133371	461334	hg38_H1_85
SLC5A9	chr1	48222684	48222685	482227	hg38_H1_89
N/A	chr1	51422121	51422122	514222	hg38_H1_94
EPS15	chr1	51519323	51519324	515194	hg38_H1_94
ZCCHC11	chr1	52553090	52553091	525531	hg38_H1_96
ZCCHC11	chr1	52553090	52553091	525531	hg38_H1_96
DAB1	chr1	58250539	58250540	582506	hg38_H1_102
ROR1	chr1	63774018	63774019	637741	hg38_H1_110
N/A	chr1	65792509	65792510	657926	hg38_H1_114
INADL	chr1	61742476	61742477	617425	hg38_H1_106
PDE4B	chr1	65792509	65792510	657926	hg38_H1_114
N/A	chr1	65913244	65913245	659133	hg38_H1_114
RP11-436K8.1	chr1	60825584	60825585	608256	hg38_H1_104
ROR1	chr1	63774018	63774019	637741	hg38_H1_110
PDE4B	chr1	65793172	65793173	657932	hg38_H1_114
PDE4B	chr1	65992615	65992616	659927	hg38_H1_114
FPGT-TNNI3K	chr1	74198211	74198212	741983	hg38_H1_127
WLS	chr1	68232601	68232602	682327	hg38_H1_119
GNG12-AS1	chr1	67832287	67832288	678323	hg38_H1_118
WLS	chr1	68232546	68232547	682326	hg38_H1_119
FPGT-TNNI3K	chr1	74198211	74198212	741983	hg38_H1_127
WLS	chr1	68232546	68232547	682326	hg38_H1_119
TNNI3K	chr1	74235386	74235387	742354	hg38_H1_127
N/A	chr1	76074703	76074704	760748	hg38_H1_130
N/A	chr1	81699769	81699770	816998	hg38_H1_135
IFI44L	chr1	78620381	78620382	786204	hg38_H1_131
ST6GALNAC3	chr1	76074703	76074704	760748	hg38_H1_130
N/A	chr1	77683427	77683428	776835	hg38_H1_130
ZZZ3	chr1	77682658	77682659	776827	hg38_H1_130
MCOLN2	chr1	84997122	84997123	849972	hg38_H1_137
HS2ST1	chr1	86914651	86914652	869147	hg38_H1_140
HS2ST1	chr1	86914651	86914652	869147	hg38_H1_140
COL24A1	chr1	86156438	86156439	861565	hg38_H1_138
MIR548N	chr1	99712953	99712954	997130	hg38_H1_160
N/A	chr1	93345811	93345812	933459	hg38_H1_152
DPYD	chr1	97921059	97921060	979211	hg38_H1_158
LINC01397	chr1	110082687	110082688	1100827	hg38_H1_175
ATP1A1	chr1	116383369	116383370	1163834	hg38_H1_186
ATP1A1	chr1	116373866	116373867	1163739	hg38_H1_186
ATP1A1	chr1	116373172	116373173	1163732	hg38_H1_186
CEPT1	chr1	111140210	111140211	1111403	hg38_H1_177
CEPT1	chr1	111139626	111139627	1111397	hg38_H1_177
N/A	chr1	146547488	146547489	1465475	
PDE4DIP	chr1	148844388	148844389	1488444	hg38_H1_192
OTUD7B	chr1	150010737	150010738	1500108	hg38_H1_195
PDE4DIP	chr1	148889402	148889403	1488895	hg38_H1_192
PDE4DIP	chr1	148808180	148808181	1488082	
PDE4DIP	chr1	148889451	148889452	1488895	hg38_H1_192
PDE4DIP	chr1	148889451	148889452	1488895	hg38_H1_192
PDE4DIP	chr1	148887372	148887373	1488874	hg38_H1_192
RNF115	chr1	145824123	145824124	1458242	hg38_H1_193
PDE4DIP	chr1	148889451	148889452	1488895	hg38_H1_192
N/A	chr1	148889451	148889452	1488895	hg38_H1_192
SRGAP2-AS1	chr1	144641368	144641369	1446414	
N/A	chr1	155192915	155192916	1551930	hg38_H1_205
N/A	chr1	155192915	155192916	1551930	hg38_H1_205
PMF1-BGLAP	chr1	156212987	156212988	1562130	hg38_H1_206
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
NUP210L	chr1	154155116	154155117	1541552	hg38_H1_204
N/A	chr1	155192915	155192916	1551930	hg38_H1_205
NUP210L	chr1	154155116	154155117	1541552	hg38_H1_204
N/A	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
N/A	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
PMF1-BGLAP	chr1	156212987	156212988	1562130	hg38_H1_206
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
PMF1-BGLAP	chr1	156212987	156212988	1562130	hg38_H1_206
PMF1-BGLAP	chr1	156212987	156212988	1562130	hg38_H1_206
PMF1	chr1	156212987	156212988	1562130	hg38_H1_206
PMF1	chr1	156212987	156212988	1562130	hg38_H1_206
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
PMF1	chr1	156212987	156212988	1562130	hg38_H1_206
MUC1	chr1	155192915	155192916	1551930	hg38_H1_205
UHMK1	chr1	162497173	162497174	1624972	hg38_H1_220
UHMK1	chr1	162497804	162497805	1624979	hg38_H1_220
PBX1	chr1	164559359	164559360	1645594	hg38_H1_223
ALDH9A1	chr1	165698663	165698664	1656987	hg38_H1_226
PBX1	chr1	164559359	164559360	1645594	hg38_H1_223
PBX1	chr1	164559359	164559360	1645594	hg38_H1_223
UHMK1	chr1	162497804	162497805	1624979	hg38_H1_220
DNM3	chr1	171841477	171841478	1718415	hg38_H1_235
DNM3	chr1	171841477	171841478	1718415	hg38_H1_235
SCYL3	chr1	169893959	169893960	1698940	hg38_H1_233
TNN	chr1	175067857	175067858	1750679	hg38_H1_243
DNM3	chr1	171841477	171841478	1718415	hg38_H1_235
SCYL3	chr1	169893959	169893960	1698940	hg38_H1_233
SMG7	chr1	183472370	183472371	1834724	hg38_H1_260
SMG7	chr1	183472370	183472371	1834724	hg38_H1_260
SMG7	chr1	183472370	183472371	1834724	hg38_H1_260
SOAT1	chr1	179293713	179293714	1792938	hg38_H1_251
N/A	chr1	179293713	179293714	1792938	hg38_H1_251
RASAL2	chr1	178093728	178093729	1780938	hg38_H1_248
SMG7	chr1	183472370	183472371	1834724	hg38_H1_260
SOAT1	chr1	179293713	179293714	1792938	hg38_H1_251
SOAT1	chr1	179293713	179293714	1792938	hg38_H1_251
LHX4-AS1	chr1	180502887	180502888	1805029	hg38_H1_254
BRINP2	chr1	177171387	177171388	1771714	hg38_H1_247
RGSL1	chr1	182450120	182450121	1824502	hg38_H1_258
LINC01350	chr1	185628488	185628489	1856285	hg38_H1_264
NEK7	chr1	198156977	198156978	1981570	hg38_H1_279
ASPM	chr1	197146694	197146695	1971467	hg38_H1_276
ASPM	chr1	197146694	197146695	1971467	hg38_H1_276
CR1	chr1	207496127	207496128	2074962	hg38_H1_292
CR1	chr1	207496127	207496128	2074962	hg38_H1_292
PPP1R12B	chr1	202348701	202348702	2023488	hg38_H1_285
PPP1R12B	chr1	202348701	202348702	2023488	hg38_H1_285
RASSF5	chr1	206557163	206557164	2065572	hg38_H1_291
RASSF5	chr1	206507529	206507530	2065076	hg38_H1_291
RASSF5	chr1	206507529	206507530	2065076	hg38_H1_291
PPP1R12B	chr1	202348701	202348702	2023488	hg38_H1_285
CDK18	chr1	205504555	205504556	2055046	hg38_H1_289
CDK18	chr1	205504555	205504556	2055046	hg38_H1_289
N/A	chr1	205504555	205504556	2055046	hg38_H1_289
PIK3C2B	chr1	204490346	204490347	2044904	hg38_H1_289
FLVCR1	chr1	212858254	212858255	2128583	hg38_H1_299
KCNH1	chr1	211134115	211134116	2111342	hg38_H1_295
ESRRG	chr1	217137755	217137756	2171378	hg38_H1_305
LPGAT1	chr1	211830772	211830773	2118308	hg38_H1_297
N/A	chr1	217137755	217137756	2171378	hg38_H1_305
ESRRG	chr1	217137755	217137756	2171378	hg38_H1_305
ESRRG	chr1	217076970	217076971	2170770	hg38_H1_305
ESRRG	chr1	217076970	217076971	2170770	hg38_H1_305
N/A	chr1	217089645	217089646	2170897	hg38_H1_305
N/A	chr1	217089854	217089855	2170899	hg38_H1_305
KCNH1	chr1	211134115	211134116	2111342	hg38_H1_295
N/A	chr1	213986153	213986154	2139862	hg38_H1_300
ESRRG	chr1	217089645	217089646	2170897	hg38_H1_305
ESRRG	chr1	217089645	217089646	2170897	hg38_H1_305
USH2A	chr1	216423396	216423397	2164234	hg38_H1_304
WDR26	chr1	224434299	224434300	2244343	hg38_H1_314
SUSD4	chr1	223364202	223364203	2233643	
SUSD4	chr1	223364202	223364203	2233643	
RAB3GAP2	chr1	220272501	220272502	2202726	hg38_H1_308
N/A	chr1	224434299	224434300	2244343	hg38_H1_314
N/A	chr1	219173788	219173789	2191738	hg38_H1_307
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
N/A	chr1	231528652	231528653	2315287	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
COG2	chr1	230642455	230642456	2306425	hg38_H1_323
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
URB2	chr1	229626233	229626234	2296263	hg38_H1_322
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
N/A	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
COG2	chr1	230642455	230642456	2306425	hg38_H1_323
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
DISC1	chr1	231626814	231626815	2316269	hg38_H1_324
PLD5	chr1	242524696	242524697	2425247	hg38_H1_340
N/A	chr1	242449482	242449483	2424495	hg38_H1_339
RGS7	chr1	241357230	241357231	2413573	hg38_H1_337
RGS7	chr1	241357230	241357231	2413573	hg38_H1_337
N/A	chr1	240091884	240091885	2400919	hg38_H1_336
RGS7	chr1	241357230	241357231	2413573	hg38_H1_337
PLD5	chr1	242449482	242449483	2424495	hg38_H1_339
RGS7	chr1	241357230	241357231	2413573	hg38_H1_337
FMN2	chr1	240091884	240091885	2400919	hg38_H1_336
SMYD3	chr1	246417412	246417413	2464175	hg38_H1_344
SMYD3	chr1	246507342	246507343	2465074	hg38_H1_344
KIF26B	chr1	245154984	245154985	2451550	hg38_H1_344
N/A	chr1	919692	919693	9197	hg38_H1_1
RP11-54O7.3	chr1	919692	919693	9197	hg38_H1_1
N/A	chr1	2003837	2003838	20039	hg38_H1_3
GNB1	chr1	1891117	1891118	18912	hg38_H1_2
VWA1	chr1	1435522	1435523	14356	hg38_H1_2
VWA1	chr1	1435522	1435523	14356	hg38_H1_2
TTLL10	chr1	1173905	1173906	11740	hg38_H1_1
GNB1	chr1	1891117	1891118	18912	hg38_H1_2
CDK11A	chr1	1724352	1724353	17244	hg38_H1_2
SSU72	chr1	1574882	1574883	15749	hg38_H1_2
PUSL1	chr1	1308613	1308614	13087	hg38_H1_1
CDK11A	chr1	1724352	1724353	17244	hg38_H1_2
GNB1	chr1	1891117	1891118	18912	hg38_H1_2
MMEL1	chr1	2633042	2633043	26331	hg38_H1_4
MORN1	chr1	2391751	2391752	23918	hg38_H1_3
PLCH2	chr1	2476314	2476315	24764	hg38_H1_4
TTC34	chr1	2789665	2789666	27897	hg38_H1_4
MORN1	chr1	2391751	2391752	23918	hg38_H1_3
N/A	chr1	2476314	2476315	24764	hg38_H1_4
PLCH2	chr1	2467458	2467459	24675	hg38_H1_4
MEGF6	chr1	3611495	3611496	36115	hg38_H1_4
TP73	chr1	3652564	3652565	36526	hg38_H1_4
N/A	chr1	3652564	3652565	36526	hg38_H1_4
N/A	chr1	3652564	3652565	36526	hg38_H1_4
TP73	chr1	3652564	3652565	36526	hg38_H1_4
TP73	chr1	3652564	3652565	36526	hg38_H1_4
TP73	chr1	3652564	3652565	36526	hg38_H1_4
AJAP1	chr1	4655044	4655045	46551	hg38_H1_5
AJAP1	chr1	4655044	4655045	46551	hg38_H1_5
KCNAB2	chr1	6026012	6026013	60261	hg38_H1_6
KCNAB2	chr1	6026012	6026013	60261	hg38_H1_6
NPHP4	chr1	5992473	5992474	59925	hg38_H1_5
CHD5	chr1	6180134	6180135	61802	hg38_H1_6
N/A	chr1	5992473	5992474	59925	hg38_H1_5
N/A	chr1	5992473	5992474	59925	hg38_H1_5
KCNAB2	chr1	5992297	5992298	59923	hg38_H1_5
N/A	chr1	5992473	5992474	59925	hg38_H1_5
CAMTA1	chr1	6785323	6785324	67854	hg38_H1_8
CAMTA1	chr1	6785323	6785324	67854	hg38_H1_8
NOL9	chr1	6554598	6554599	65546	hg38_H1_8
DNAJC11	chr1	6701906	6701907	67020	hg38_H1_8
N/A	chr1	6785323	6785324	67854	hg38_H1_8
SLC2A5	chr1	9069828	9069829	90699	hg38_H1_13
SPSB1	chr1	9292881	9292882	92929	hg38_H1_13
SLC2A5	chr1	9069828	9069829	90699	hg38_H1_13
UBE4B	chr1	10032982	10032983	100330	hg38_H1_14
KIF1B	chr1	10210705	10210706	102108	hg38_H1_14
KIF1B	chr1	10210705	10210706	102108	hg38_H1_14
PIK3CD	chr1	9651731	9651732	96518	hg38_H1_13
NMNAT1	chr1	9943427	9943428	99435	hg38_H1_14
N/A	chr1	9942922	9942923	99430	hg38_H1_14
NMNAT1	chr1	9943427	9943428	99435	hg38_H1_14
SLC25A33	chr1	9539468	9539469	95395	hg38_H1_13
UBE4B	chr1	10032982	10032983	100330	hg38_H1_14
MTOR	chr1	11262551	11262552	112626	hg38_H1_17
CASZ1	chr1	10796676	10796677	107967	hg38_H1_15
CASZ1	chr1	10796676	10796677	107967	hg38_H1_15
MTHFR	chr1	11806103	11806104	118062	hg38_H1_17
FBXO6	chr1	11664092	11664093	116641	hg38_H1_17
TNFRSF1B	chr1	12167002	12167003	121671	hg38_H1_18
VPS13D	chr1	12230038	12230039	122301	hg38_H1_18
VPS13D	chr1	12230038	12230039	122301	hg38_H1_18
LRRC38	chr1	13513747	13513748	135138	hg38_H1_19
N/A	chr1	13371947	13371948	133720	
PRDM2	chr1	13704854	13704855	137049	hg38_H1_19
PRDM2	chr1	13704854	13704855	137049	hg38_H1_19
PRDM2	chr1	13700239	13700240	137003	hg38_H1_19
PRDM2	chr1	13749380	13749381	137494	hg38_H1_19
KAZN	chr1	14929799	14929800	149298	hg38_H1_21
CELA2A	chr1	15456727	15456728	154568	hg38_H1_21
TMEM51	chr1	15153732	15153733	151538	hg38_H1_21
KAZN	chr1	14924128	14924129	149242	hg38_H1_21
TMEM51	chr1	15153732	15153733	151538	hg38_H1_21
TMEM51	chr1	15152531	15152532	151526	hg38_H1_21
TMEM51	chr1	15152531	15152532	151526	hg38_H1_21
FHAD1	chr1	15247271	15247272	152473	hg38_H1_21
N/A	chr1	16367029	16367030	163671	hg38_H1_24
N/A	chr1	16367029	16367030	163671	hg38_H1_24
N/A	chr1	16367029	16367030	163671	hg38_H1_24
N/A	chr1	16367029	16367030	163671	hg38_H1_24
FBXO42	chr1	16352491	16352492	163525	hg38_H1_24
SPEN	chr1	15847863	15847864	158479	hg38_H1_23
SZRD1	chr1	16367029	16367030	163671	hg38_H1_24
SZRD1	chr1	16367029	16367030	163671	hg38_H1_24
N/A	chr1	16645573	16645574	166456	
ARHGEF10L	chr1	17539834	17539835	175399	hg38_H1_26
ARHGEF10L	chr1	17580552	17580553	175806	hg38_H1_26
RCC2	chr1	17438563	17438564	174386	hg38_H1_26
SDHB	chr1	17054170	17054171	170542	hg38_H1_25
RCC2	chr1	17439754	17439755	174398	hg38_H1_26
KLHDC7A	chr1	18480929	18480930	184810	hg38_H1_27
IGSF21	chr1	18107745	18107746	181078	hg38_H1_27
PAX7	chr1	18631005	18631006	186311	hg38_H1_28
CAPZB	chr1	19485641	19485642	194857	hg38_H1_30
CAPZB	chr1	19484707	19484708	194848	hg38_H1_30
N/A	chr1	19274074	19274075	192741	hg38_H1_29
N/A	chr1	19274074	19274075	192741	hg38_H1_29
CAPZB	chr1	19485641	19485642	194857	hg38_H1_30
CAPZB	chr1	19485641	19485642	194857	hg38_H1_30
UBR4	chr1	19210252	19210253	192103	hg38_H1_29
TMCO4	chr1	19799917	19799918	198000	hg38_H1_31
KIF17	chr1	20718017	20718018	207181	hg38_H1_34
KIF17	chr1	20718017	20718018	207181	hg38_H1_34
VWA5B1	chr1	20290918	20290919	202910	hg38_H1_32
KIF17	chr1	20718017	20718018	207181	hg38_H1_34
UBXN10-AS1	chr1	20186486	20186487	201865	hg38_H1_32
USP48	chr1	21783195	21783196	217832	hg38_H1_36
ECE1	chr1	21279690	21279691	212797	hg38_H1_35
HSPG2	chr1	21937297	21937298	219373	hg38_H1_36
RAP1GAP	chr1	21669363	21669364	216694	hg38_H1_36
ECE1	chr1	21290489	21290490	212905	hg38_H1_35
ECE1	chr1	21290273	21290274	212903	hg38_H1_35
ECE1	chr1	21345541	21345542	213456	hg38_H1_35
RAP1GAP	chr1	21651855	21651856	216519	hg38_H1_36
N/A	chr1	21937297	21937298	219373	hg38_H1_36
RAP1GAP	chr1	21669363	21669364	216694	hg38_H1_36
USP48	chr1	21783195	21783196	217832	hg38_H1_36
EPHB2	chr1	22710837	22710838	227109	hg38_H1_39
N/A	chr1	22710837	22710838	227109	hg38_H1_39
EPHB2	chr1	22710837	22710838	227109	hg38_H1_39
N/A	chr1	22710837	22710838	227109	hg38_H1_39
ASAP3	chr1	23484257	23484258	234843	hg38_H1_41
HNRNPR	chr1	23344364	23344365	233444	hg38_H1_41
N/A	chr1	23344364	23344365	233444	hg38_H1_41
HNRNPR	chr1	23344364	23344365	233444	hg38_H1_41
N/A	chr1	23344364	23344365	233444	hg38_H1_41
HNRNPR	chr1	23344364	23344365	233444	hg38_H1_41
ASAP3	chr1	23484257	23484258	234843	hg38_H1_41
HNRNPR	chr1	23344364	23344365	233444	hg38_H1_41
HNRNPR	chr1	23344364	23344365	233444	hg38_H1_41
FUCA1	chr1	23868369	23868370	238684	hg38_H1_42
RCAN3	chr1	24502350	24502351	245024	hg38_H1_43
RCAN3	chr1	24502896	24502897	245029	hg38_H1_43
RCAN3	chr1	24502896	24502897	245029	hg38_H1_43
STPG1	chr1	24413772	24413773	244138	hg38_H1_43
N/A	chr1	24413772	24413773	244138	hg38_H1_43
STPG1	chr1	24415097	24415098	244151	hg38_H1_43
CLIC4	chr1	24745268	24745269	247453	hg38_H1_44
RCAN3	chr1	24502896	24502897	245029	hg38_H1_43
N/A	chr1	24502896	24502897	245029	hg38_H1_43
RCAN3	chr1	24507593	24507594	245076	hg38_H1_43
RCAN3	chr1	24502350	24502351	245024	hg38_H1_43
STPG1	chr1	24413772	24413773	244138	hg38_H1_43
RUNX3	chr1	24930279	24930280	249303	hg38_H1_44
RUNX3	chr1	24965010	24965011	249651	hg38_H1_44
RHD	chr1	25272485	25272486	252725	hg38_H1_45
MAN1C1	chr1	25617467	25617468	256175	hg38_H1_46
N/A	chr1	25823606	25823607	258237	hg38_H1_46
RHD	chr1	25272485	25272486	252725	hg38_H1_45
RHD	chr1	25272485	25272486	252725	hg38_H1_45
RHD	chr1	25272485	25272486	252725	hg38_H1_45
N/A	chr1	25617467	25617468	256175	hg38_H1_46
MTFR1L	chr1	25820192	25820193	258202	hg38_H1_46
N/A	chr1	25272485	25272486	252725	hg38_H1_45
RHD	chr1	25272485	25272486	252725	hg38_H1_45
RHD	chr1	25272485	25272486	252725	hg38_H1_45
LDLRAP1	chr1	25543584	25543585	255436	hg38_H1_45
MTFR1L	chr1	25819905	25819906	258200	hg38_H1_46
MTFR1L	chr1	25820827	25820828	258209	hg38_H1_46
MTFR1L	chr1	25819905	25819906	258200	hg38_H1_46
RHD	chr1	25272485	25272486	252725	hg38_H1_45
ARID1A	chr1	26696030	26696031	266961	hg38_H1_49
ARID1A	chr1	26696030	26696031	266961	hg38_H1_49
N/A	chr1	27155130	27155131	271552	hg38_H1_50
HMGN2	chr1	26472410	26472411	264725	hg38_H1_48
AIM1L	chr1	26354130	26354131	263542	hg38_H1_48
TRNP1	chr1	26993703	26993704	269938	hg38_H1_50
SLC9A1	chr1	27155130	27155131	271552	hg38_H1_50
GPR3	chr1	27392643	27392644	273927	hg38_H1_51
PTAFR	chr1	28193936	28193937	281940	hg38_H1_52
N/A	chr1	28193936	28193937	281940	hg38_H1_52
EYA3	chr1	28088637	28088638	280887	hg38_H1_52
EYA3	chr1	28088637	28088638	280887	hg38_H1_52
STX12	chr1	27773182	27773183	277732	hg38_H1_52
EYA3	chr1	28088637	28088638	280887	hg38_H1_52
EYA3	chr1	28088637	28088638	280887	hg38_H1_52
EYA3	chr1	28088637	28088638	280887	hg38_H1_52
EPB41	chr1	28887090	28887091	288871	hg38_H1_53
GMEB1	chr1	28668727	28668728	286688	hg38_H1_53
EPB41	chr1	28887090	28887091	288871	hg38_H1_53
GMEB1	chr1	28668727	28668728	286688	hg38_H1_53
PHACTR4	chr1	28369581	28369582	283696	hg38_H1_52
EPB41	chr1	28887090	28887091	288871	hg38_H1_53
EPB41	chr1	28914575	28914576	289146	hg38_H1_53
N/A	chr1	28553016	28553017	285531	hg38_H1_52
EPB41	chr1	28887090	28887091	288871	hg38_H1_53
EPB41	chr1	28887090	28887091	288871	hg38_H1_53
MECR	chr1	29230958	29230959	292310	hg38_H1_54
OPRD1	chr1	28812141	28812142	288122	hg38_H1_53
PHACTR4	chr1	28438149	28438150	284382	hg38_H1_52
TRNAU1AP	chr1	28553016	28553017	285531	hg38_H1_52
MECR	chr1	29230958	29230959	292310	hg38_H1_54
RP11-111I12.1	chr1	30037612	30037613	300377	hg38_H1_54
ZCCHC17	chr1	31296981	31296982	312970	hg38_H1_56
ZCCHC17	chr1	31296981	31296982	312970	hg38_H1_56
N/A	chr1	31296981	31296982	312970	hg38_H1_56
ZCCHC17	chr1	31296981	31296982	312970	hg38_H1_56
ZCCHC17	chr1	31296981	31296982	312970	hg38_H1_56
